reference_video,score_array,archive_videos
c05_202102080735,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1]","['c01_20210130063213', 'c01_20210130081629', 'c01_20210130115216', 'c01_20210130124435', 'c01_20210130124857', 'c01_20210130194220', 'c01_20210130195400', 'c01_20210130210232', 'c01_20210131062134', 'c01_20210131125108', 'c01_20210131125922', 'c01_20210131194822', 'c01_20210131205546', 'c01_20210201082747', 'c01_20210201172013', 'c01_20210202062315', 'c01_20210202083021', 'c01_20210202125721', 'c01_20210202195259', 'c01_20210203062229', 'c01_20210204062142', 'c01_20210205062047', 'c01_20210210081914', 'c02_20210202135601', 'c03_20210130103820', 'c03_20210208075916', 'c05_20210203202303', 'c05_20210205081528', 'c06_20210201084910', 'c06_20210201113332', 'c07_20210204212818', 'c08_20210202194621', 'c08_20210216093708', 'c09_20210130193616', 'c09_20210203220200', 'c09_20210204140043', 'c09_20210210135939', 'c09_20210221115250', 'c09_20210221125002', 'c09_20210221172350', 'c09_20210221204951', 'c09_20210222140438', 'c09_20210222150519', 'c09_20210222174848', 'c09_20210223175523', 'c09_20210223204726', 'c09_20210224010425', 'c09_20210224174314', 'c09_20210225175756', 'c09_20210226175156', 'c09_20210226230422', 'c09_20210227162920', 'c09_20210227193611', 'c09_20210227211344', 'c09_20210227224952', 'c09_20210228085036', 'c09_20210228095443', 'c09_20210228105604', 'c09_20210228114527', 'c09_20210228124351', 'c09_20210228171844']"
c03_202102071755,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['c01_20210130063213', 'c01_20210130081629', 'c01_20210130115216', 'c01_20210130124435', 'c01_20210130124857', 'c01_20210130194220', 'c01_20210130195400', 'c01_20210130210232', 'c01_20210131062134', 'c01_20210131125108', 'c01_20210131125922', 'c01_20210131194822', 'c01_20210131205546', 'c01_20210201082747', 'c01_20210201172013', 'c01_20210202062315', 'c01_20210202083021', 'c01_20210202125721', 'c01_20210202195259', 'c01_20210203062229', 'c01_20210204062142', 'c01_20210205062047', 'c01_20210210081914', 'c02_20210202135601', 'c03_20210130103820', 'c03_20210208075916', 'c05_20210203202303', 'c05_20210205081528', 'c06_20210201084910', 'c06_20210201113332', 'c07_20210204212818', 'c08_20210202194621', 'c08_20210216093708', 'c09_20210130193616', 'c09_20210203220200', 'c09_20210204140043', 'c09_20210210135939', 'c09_20210221115250', 'c09_20210221125002', 'c09_20210221172350', 'c09_20210221204951', 'c09_20210222140438', 'c09_20210222150519', 'c09_20210222174848', 'c09_20210223175523', 'c09_20210223204726', 'c09_20210224010425', 'c09_20210224174314', 'c09_20210225175756', 'c09_20210226175156', 'c09_20210226230422', 'c09_20210227162920', 'c09_20210227193611', 'c09_20210227211344', 'c09_20210227224952', 'c09_20210228085036', 'c09_20210228095443', 'c09_20210228105604', 'c09_20210228114527', 'c09_20210228124351', 'c09_20210228171844']"
c05_202101300845,"[0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0]","['c01_20210130063213', 'c01_20210130081629', 'c01_20210130115216', 'c01_20210130124435', 'c01_20210130124857', 'c01_20210130194220', 'c01_20210130195400', 'c01_20210130210232', 'c01_20210131062134', 'c01_20210131125108', 'c01_20210131125922', 'c01_20210131194822', 'c01_20210131205546', 'c01_20210201082747', 'c01_20210201172013', 'c01_20210202062315', 'c01_20210202083021', 'c01_20210202125721', 'c01_20210202195259', 'c01_20210203062229', 'c01_20210204062142', 'c01_20210205062047', 'c01_20210210081914', 'c02_20210202135601', 'c03_20210130103820', 'c03_20210208075916', 'c05_20210203202303', 'c05_20210205081528', 'c06_20210201084910', 'c06_20210201113332', 'c07_20210204212818', 'c08_20210202194621', 'c08_20210216093708', 'c09_20210130193616', 'c09_20210203220200', 'c09_20210204140043', 'c09_20210210135939', 'c09_20210221115250', 'c09_20210221125002', 'c09_20210221172350', 'c09_20210221204951', 'c09_20210222140438', 'c09_20210222150519', 'c09_20210222174848', 'c09_20210223175523', 'c09_20210223204726', 'c09_20210224010425', 'c09_20210224174314', 'c09_20210225175756', 'c09_20210226175156', 'c09_20210226230422', 'c09_20210227162920', 'c09_20210227193611', 'c09_20210227211344', 'c09_20210227224952', 'c09_20210228085036', 'c09_20210228095443', 'c09_20210228105604', 'c09_20210228114527', 'c09_20210228124351', 'c09_20210228171844']"
c01_202102140630,"[0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0]","['c01_20210130063213', 'c01_20210130081629', 'c01_20210130115216', 'c01_20210130124435', 'c01_20210130124857', 'c01_20210130194220', 'c01_20210130195400', 'c01_20210130210232', 'c01_20210131062134', 'c01_20210131125108', 'c01_20210131125922', 'c01_20210131194822', 'c01_20210131205546', 'c01_20210201082747', 'c01_20210201172013', 'c01_20210202062315', 'c01_20210202083021', 'c01_20210202125721', 'c01_20210202195259', 'c01_20210203062229', 'c01_20210204062142', 'c01_20210205062047', 'c01_20210210081914', 'c02_20210202135601', 'c03_20210130103820', 'c03_20210208075916', 'c05_20210203202303', 'c05_20210205081528', 'c06_20210201084910', 'c06_20210201113332', 'c07_20210204212818', 'c08_20210202194621', 'c08_20210216093708', 'c09_20210130193616', 'c09_20210203220200', 'c09_20210204140043', 'c09_20210210135939', 'c09_20210221115250', 'c09_20210221125002', 'c09_20210221172350', 'c09_20210221204951', 'c09_20210222140438', 'c09_20210222150519', 'c09_20210222174848', 'c09_20210223175523', 'c09_20210223204726', 'c09_20210224010425', 'c09_20210224174314', 'c09_20210225175756', 'c09_20210226175156', 'c09_20210226230422', 'c09_20210227162920', 'c09_20210227193611', 'c09_20210227211344', 'c09_20210227224952', 'c09_20210228085036', 'c09_20210228095443', 'c09_20210228105604', 'c09_20210228114527', 'c09_20210228124351', 'c09_20210228171844']"
c05_202102012240,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]","['c01_20210130063213', 'c01_20210130081629', 'c01_20210130115216', 'c01_20210130124435', 'c01_20210130124857', 'c01_20210130194220', 'c01_20210130195400', 'c01_20210130210232', 'c01_20210131062134', 'c01_20210131125108', 'c01_20210131125922', 'c01_20210131194822', 'c01_20210131205546', 'c01_20210201082747', 'c01_20210201172013', 'c01_20210202062315', 'c01_20210202083021', 'c01_20210202125721', 'c01_20210202195259', 'c01_20210203062229', 'c01_20210204062142', 'c01_20210205062047', 'c01_20210210081914', 'c02_20210202135601', 'c03_20210130103820', 'c03_20210208075916', 'c05_20210203202303', 'c05_20210205081528', 'c06_20210201084910', 'c06_20210201113332', 'c07_20210204212818', 'c08_20210202194621', 'c08_20210216093708', 'c09_20210130193616', 'c09_20210203220200', 'c09_20210204140043', 'c09_20210210135939', 'c09_20210221115250', 'c09_20210221125002', 'c09_20210221172350', 'c09_20210221204951', 'c09_20210222140438', 'c09_20210222150519', 'c09_20210222174848', 'c09_20210223175523', 'c09_20210223204726', 'c09_20210224010425', 'c09_20210224174314', 'c09_20210225175756', 'c09_20210226175156', 'c09_20210226230422', 'c09_20210227162920', 'c09_20210227193611', 'c09_20210227211344', 'c09_20210227224952', 'c09_20210228085036', 'c09_20210228095443', 'c09_20210228105604', 'c09_20210228114527', 'c09_20210228124351', 'c09_20210228171844']"
c01_202102260630,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['c01_20210130063213', 'c01_20210130081629', 'c01_20210130115216', 'c01_20210130124435', 'c01_20210130124857', 'c01_20210130194220', 'c01_20210130195400', 'c01_20210130210232', 'c01_20210131062134', 'c01_20210131125108', 'c01_20210131125922', 'c01_20210131194822', 'c01_20210131205546', 'c01_20210201082747', 'c01_20210201172013', 'c01_20210202062315', 'c01_20210202083021', 'c01_20210202125721', 'c01_20210202195259', 'c01_20210203062229', 'c01_20210204062142', 'c01_20210205062047', 'c01_20210210081914', 'c02_20210202135601', 'c03_20210130103820', 'c03_20210208075916', 'c05_20210203202303', 'c05_20210205081528', 'c06_20210201084910', 'c06_20210201113332', 'c07_20210204212818', 'c08_20210202194621', 'c08_20210216093708', 'c09_20210130193616', 'c09_20210203220200', 'c09_20210204140043', 'c09_20210210135939', 'c09_20210221115250', 'c09_20210221125002', 'c09_20210221172350', 'c09_20210221204951', 'c09_20210222140438', 'c09_20210222150519', 'c09_20210222174848', 'c09_20210223175523', 'c09_20210223204726', 'c09_20210224010425', 'c09_20210224174314', 'c09_20210225175756', 'c09_20210226175156', 'c09_20210226230422', 'c09_20210227162920', 'c09_20210227193611', 'c09_20210227211344', 'c09_20210227224952', 'c09_20210228085036', 'c09_20210228095443', 'c09_20210228105604', 'c09_20210228114527', 'c09_20210228124351', 'c09_20210228171844']"
c01_202101301300,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['c01_20210130063213', 'c01_20210130081629', 'c01_20210130115216', 'c01_20210130124435', 'c01_20210130124857', 'c01_20210130194220', 'c01_20210130195400', 'c01_20210130210232', 'c01_20210131062134', 'c01_20210131125108', 'c01_20210131125922', 'c01_20210131194822', 'c01_20210131205546', 'c01_20210201082747', 'c01_20210201172013', 'c01_20210202062315', 'c01_20210202083021', 'c01_20210202125721', 'c01_20210202195259', 'c01_20210203062229', 'c01_20210204062142', 'c01_20210205062047', 'c01_20210210081914', 'c02_20210202135601', 'c03_20210130103820', 'c03_20210208075916', 'c05_20210203202303', 'c05_20210205081528', 'c06_20210201084910', 'c06_20210201113332', 'c07_20210204212818', 'c08_20210202194621', 'c08_20210216093708', 'c09_20210130193616', 'c09_20210203220200', 'c09_20210204140043', 'c09_20210210135939', 'c09_20210221115250', 'c09_20210221125002', 'c09_20210221172350', 'c09_20210221204951', 'c09_20210222140438', 'c09_20210222150519', 'c09_20210222174848', 'c09_20210223175523', 'c09_20210223204726', 'c09_20210224010425', 'c09_20210224174314', 'c09_20210225175756', 'c09_20210226175156', 'c09_20210226230422', 'c09_20210227162920', 'c09_20210227193611', 'c09_20210227211344', 'c09_20210227224952', 'c09_20210228085036', 'c09_20210228095443', 'c09_20210228105604', 'c09_20210228114527', 'c09_20210228124351', 'c09_20210228171844']"
c05_202102010750,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0]","['c01_20210130063213', 'c01_20210130081629', 'c01_20210130115216', 'c01_20210130124435', 'c01_20210130124857', 'c01_20210130194220', 'c01_20210130195400', 'c01_20210130210232', 'c01_20210131062134', 'c01_20210131125108', 'c01_20210131125922', 'c01_20210131194822', 'c01_20210131205546', 'c01_20210201082747', 'c01_20210201172013', 'c01_20210202062315', 'c01_20210202083021', 'c01_20210202125721', 'c01_20210202195259', 'c01_20210203062229', 'c01_20210204062142', 'c01_20210205062047', 'c01_20210210081914', 'c02_20210202135601', 'c03_20210130103820', 'c03_20210208075916', 'c05_20210203202303', 'c05_20210205081528', 'c06_20210201084910', 'c06_20210201113332', 'c07_20210204212818', 'c08_20210202194621', 'c08_20210216093708', 'c09_20210130193616', 'c09_20210203220200', 'c09_20210204140043', 'c09_20210210135939', 'c09_20210221115250', 'c09_20210221125002', 'c09_20210221172350', 'c09_20210221204951', 'c09_20210222140438', 'c09_20210222150519', 'c09_20210222174848', 'c09_20210223175523', 'c09_20210223204726', 'c09_20210224010425', 'c09_20210224174314', 'c09_20210225175756', 'c09_20210226175156', 'c09_20210226230422', 'c09_20210227162920', 'c09_20210227193611', 'c09_20210227211344', 'c09_20210227224952', 'c09_20210228085036', 'c09_20210228095443', 'c09_20210228105604', 'c09_20210228114527', 'c09_20210228124351', 'c09_20210228171844']"
c01_202101301200,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['c01_20210130063213', 'c01_20210130081629', 'c01_20210130115216', 'c01_20210130124435', 'c01_20210130124857', 'c01_20210130194220', 'c01_20210130195400', 'c01_20210130210232', 'c01_20210131062134', 'c01_20210131125108', 'c01_20210131125922', 'c01_20210131194822', 'c01_20210131205546', 'c01_20210201082747', 'c01_20210201172013', 'c01_20210202062315', 'c01_20210202083021', 'c01_20210202125721', 'c01_20210202195259', 'c01_20210203062229', 'c01_20210204062142', 'c01_20210205062047', 'c01_20210210081914', 'c02_20210202135601', 'c03_20210130103820', 'c03_20210208075916', 'c05_20210203202303', 'c05_20210205081528', 'c06_20210201084910', 'c06_20210201113332', 'c07_20210204212818', 'c08_20210202194621', 'c08_20210216093708', 'c09_20210130193616', 'c09_20210203220200', 'c09_20210204140043', 'c09_20210210135939', 'c09_20210221115250', 'c09_20210221125002', 'c09_20210221172350', 'c09_20210221204951', 'c09_20210222140438', 'c09_20210222150519', 'c09_20210222174848', 'c09_20210223175523', 'c09_20210223204726', 'c09_20210224010425', 'c09_20210224174314', 'c09_20210225175756', 'c09_20210226175156', 'c09_20210226230422', 'c09_20210227162920', 'c09_20210227193611', 'c09_20210227211344', 'c09_20210227224952', 'c09_20210228085036', 'c09_20210228095443', 'c09_20210228105604', 'c09_20210228114527', 'c09_20210228124351', 'c09_20210228171844']"
c02_202101301300,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['c01_20210130063213', 'c01_20210130081629', 'c01_20210130115216', 'c01_20210130124435', 'c01_20210130124857', 'c01_20210130194220', 'c01_20210130195400', 'c01_20210130210232', 'c01_20210131062134', 'c01_20210131125108', 'c01_20210131125922', 'c01_20210131194822', 'c01_20210131205546', 'c01_20210201082747', 'c01_20210201172013', 'c01_20210202062315', 'c01_20210202083021', 'c01_20210202125721', 'c01_20210202195259', 'c01_20210203062229', 'c01_20210204062142', 'c01_20210205062047', 'c01_20210210081914', 'c02_20210202135601', 'c03_20210130103820', 'c03_20210208075916', 'c05_20210203202303', 'c05_20210205081528', 'c06_20210201084910', 'c06_20210201113332', 'c07_20210204212818', 'c08_20210202194621', 'c08_20210216093708', 'c09_20210130193616', 'c09_20210203220200', 'c09_20210204140043', 'c09_20210210135939', 'c09_20210221115250', 'c09_20210221125002', 'c09_20210221172350', 'c09_20210221204951', 'c09_20210222140438', 'c09_20210222150519', 'c09_20210222174848', 'c09_20210223175523', 'c09_20210223204726', 'c09_20210224010425', 'c09_20210224174314', 'c09_20210225175756', 'c09_20210226175156', 'c09_20210226230422', 'c09_20210227162920', 'c09_20210227193611', 'c09_20210227211344', 'c09_20210227224952', 'c09_20210228085036', 'c09_20210228095443', 'c09_20210228105604', 'c09_20210228114527', 'c09_20210228124351', 'c09_20210228171844']"
